id,y
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,0
436,0
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,1
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,1
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,0
587,0
588,0
589,0
590,1
591,0
592,0
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,0
601,1
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,0
613,0
614,1
615,1
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,0
624,1
625,0
626,0
627,0
628,1
629,1
630,0
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,0
640,0
641,1
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,1
660,1
661,0
662,1
663,1
664,0
665,1
666,0
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,0
678,0
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,0
708,1
709,0
710,1
711,0
712,0
713,0
714,1
715,0
716,1
717,0
718,0
719,0
720,1
721,1
722,0
723,1
724,0
725,1
726,1
727,0
728,1
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,0
804,1
805,0
806,1
807,1
808,1
809,1
810,0
811,1
812,1
